_time,container_name,namespace,node_name,pod_name,cpu_usage_core_nanoseconds,cpu_usage_nanocores,logsfs_available_bytes,logsfs_capacity_bytes,logsfs_used_bytes,memory_major_page_faults,memory_page_faults,memory_rss_bytes,memory_usage_bytes,memory_working_set_bytes,rootfs_available_bytes,rootfs_capacity_bytes,rootfs_used_bytes
2025-08-04 06:00:18+00:00,ml-pipeline-persistenceagent,kubeflow,neuronet-w3,ml-pipeline-persistenceagent-85fc9bc7f-h96qw,3201844618000.0,269425.0,29420187648.0,62241562624.0,20819968.0,0.0,159732.0,11980800.0,12709888.0,12709888.0,29420187648.0,62241562624.0,32768.0
2025-08-04 06:00:18+00:00,kube-rbac-proxy,cluster-network-addons,neuronet-w1,cluster-network-addons-operator-5ddc679dbc-hblk4,1295376388000.0,159528.0,20176318464.0,62241562624.0,4096.0,0.0,4349.0,7462912.0,8056832.0,8056832.0,20176318464.0,62241562624.0,24576.0
2025-08-04 06:00:18+00:00,kube-proxy,kube-system,neuronet-w2,kube-proxy-jpq4q,12438185853000.0,1737350.0,23309656064.0,62241562624.0,856064.0,22.0,81255072.0,16875520.0,19079168.0,19079168.0,23309656064.0,62241562624.0,65536.0
2025-08-04 06:00:18+00:00,kube-flannel,kube-flannel,neuronet-m1,kube-flannel-ds-mwgcj,140240829629000.0,33449494.0,51660533760.0,62241562624.0,172032.0,213.0,2583588119.0,12181504.0,18669568.0,16760832.0,51660533760.0,62241562624.0,45056.0
2025-08-04 06:00:18+00:00,kube-flannel,kube-flannel,neuronet-m2,kube-flannel-ds-7dtpw,203872494660000.0,37534146.0,52589903872.0,62241562624.0,184320.0,268.0,2951023537.0,11997184.0,24162304.0,19025920.0,52589903872.0,62241562624.0,45056.0
2025-08-04 06:00:18+00:00,kube-flannel,kube-flannel,neuronet-m3,kube-flannel-ds-5bhff,192824651499000.0,31391185.0,47973613568.0,62241562624.0,167936.0,788.0,2954225760.0,11964416.0,21241856.0,15777792.0,47973613568.0,62241562624.0,45056.0
2025-08-04 06:00:18+00:00,kube-flannel,kube-flannel,neuronet-w1,kube-flannel-ds-q67xt,181323218056000.0,32305310.0,20176318464.0,62241562624.0,151552.0,15.0,2955856932.0,12001280.0,13299712.0,13299712.0,20176318464.0,62241562624.0,45056.0
2025-08-04 06:00:18+00:00,kube-flannel,kube-flannel,neuronet-w2,kube-flannel-ds-cfvt6,200473267375000.0,27622087.0,23309656064.0,62241562624.0,163840.0,11.0,2949972160.0,12267520.0,13316096.0,13316096.0,23309656064.0,62241562624.0,45056.0
2025-08-04 06:00:18+00:00,kube-flannel,kube-flannel,neuronet-w3,kube-flannel-ds-s45f6,200346530337000.0,27052354.0,29420187648.0,62241562624.0,196608.0,12.0,2950966882.0,12169216.0,13221888.0,13221888.0,29420187648.0,62241562624.0,45056.0
2025-08-04 06:00:18+00:00,kube-multus,kube-system,neuronet-m1,kube-multus-ds-b68jx,22116928000.0,0.0,51660533760.0,62241562624.0,8192.0,31.0,1496.0,929792.0,1675264.0,1675264.0,51660533760.0,62241562624.0,77824.0
2025-08-04 06:00:18+00:00,kube-multus,kube-system,neuronet-m2,kube-multus-ds-7k4lv,36103409000.0,0.0,52589903872.0,62241562624.0,4096.0,0.0,1424.0,1069056.0,1691648.0,1691648.0,52589903872.0,62241562624.0,77824.0
2025-08-04 06:00:18+00:00,kube-multus,kube-system,neuronet-m3,kube-multus-ds-xtl9f,34194924000.0,15590.0,47973613568.0,62241562624.0,4096.0,0.0,1399.0,987136.0,1662976.0,1662976.0,47973613568.0,62241562624.0,77824.0
2025-08-04 06:00:18+00:00,kube-multus,kube-system,neuronet-w1,kube-multus-ds-6q66x,30467242000.0,18108.0,20176318464.0,62241562624.0,8192.0,0.0,1420.0,1060864.0,32260096.0,2625536.0,20176318464.0,62241562624.0,77824.0
