,result,table,_start,_stop,_time,_value,_field,_measurement,inventory-cluster-id,inventory-rack-id,inventory-server-id,node_fqdn,plugin,status,vm_id,vm_name
,_result,2,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:05:06Z,64424509440,disk_total,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
,_result,2,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:06:07Z,64424509440,disk_total,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
,_result,2,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:07:07Z,64424509440,disk_total,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
,_result,2,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:08:08Z,64424509440,disk_total,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
,_result,2,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:09:04Z,64424509440,disk_total,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
,_result,3,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:00:05Z,0,disk_used,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
,_result,3,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:01:04Z,0,disk_used,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
,_result,3,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:02:04Z,0,disk_used,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
,_result,3,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:03:07Z,0,disk_used,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
,_result,3,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:04:05Z,0,disk_used,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
,_result,3,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:05:06Z,0,disk_used,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
,_result,3,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:06:07Z,0,disk_used,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
,_result,3,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:07:07Z,0,disk_used,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
,_result,3,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:08:08Z,0,disk_used,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
,_result,3,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:09:04Z,0,disk_used,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2

,result,table,_start,_stop,_time,_value,_field,_measurement,inventory-cluster-id,inventory-rack-id,inventory-server-id,node_fqdn,plugin,status,vm_id,vm_name
,_result,4,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:00:05Z,0,disk_used_percentage,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
,_result,4,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:01:04Z,0,disk_used_percentage,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
,_result,4,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:02:04Z,0,disk_used_percentage,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
,_result,4,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:03:07Z,0,disk_used_percentage,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
,_result,4,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:04:05Z,0,disk_used_percentage,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
,_result,4,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:05:06Z,0,disk_used_percentage,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
,_result,4,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:06:07Z,0,disk_used_percentage,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
,_result,4,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:07:07Z,0,disk_used_percentage,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
,_result,4,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:08:08Z,0,disk_used_percentage,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
,_result,4,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:09:04Z,0,disk_used_percentage,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2

,result,table,_start,_stop,_time,_value,_field,_measurement,inventory-cluster-id,inventory-rack-id,inventory-server-id,node_fqdn,plugin,status,vm_id,vm_name
,_result,5,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:00:05Z,386535424,mem_free,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
,_result,5,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:01:04Z,427474944,mem_free,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
,_result,5,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:02:04Z,338677760,mem_free,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
,_result,5,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:03:07Z,332427264,mem_free,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
,_result,5,2025-07-30T13:59:50.242385993Z,2025-07-30T14:09:50.242385993Z,2025-07-30T14:04:05Z,330919936,mem_free,computational_measurements,flux,r4,flux-node1,flux-node1.av.it.pt,proxmox,running,188,neuronet-m2
