,result,table,_start,_stop,_time,_value,_field,_measurement,container_id,container_name,inventory-cluster-id,inventory-rack-id,inventory-server-id,namespace,plugin,pod_name,url
,_result,2,2025-07-30T14:00:17.274674293Z,2025-07-30T14:10:17.274674293Z,2025-07-30T14:07:00Z,967854.714,kepler_container_joules_total,energy_measurements,1a96e5aac891ed3c850def9b9c51f6417f1783a8883d4d6a922ef4e6a7c4f6b0,coredns,flux,r4,Neuronet-Cluster,kube-system,kepler,coredns-5dd5756b68-znnhh,http://10.255.40.9:30118/metrics
,_result,2,2025-07-30T14:00:17.274674293Z,2025-07-30T14:10:17.274674293Z,2025-07-30T14:08:00Z,967895.22,kepler_container_joules_total,energy_measurements,1a96e5aac891ed3c850def9b9c51f6417f1783a8883d4d6a922ef4e6a7c4f6b0,coredns,flux,r4,Neuronet-Cluster,kube-system,kepler,coredns-5dd5756b68-znnhh,http://10.255.40.9:30118/metrics
,_result,2,2025-07-30T14:00:17.274674293Z,2025-07-30T14:10:17.274674293Z,2025-07-30T14:09:00Z,967941.732,kepler_container_joules_total,energy_measurements,1a96e5aac891ed3c850def9b9c51f6417f1783a8883d4d6a922ef4e6a7c4f6b0,coredns,flux,r4,Neuronet-Cluster,kube-system,kepler,coredns-5dd5756b68-znnhh,http://10.255.40.9:30118/metrics
,_result,3,2025-07-30T14:00:17.274674293Z,2025-07-30T14:10:17.274674293Z,2025-07-30T14:01:00Z,721300.0000008226,kepler_container_microwatts_consumption_total,energy_measurements,1a96e5aac891ed3c850def9b9c51f6417f1783a8883d4d6a922ef4e6a7c4f6b0,coredns,flux,r4,Neuronet-Cluster,kube-system,kepler,coredns-5dd5756b68-znnhh,http://10.255.40.9:30118/metrics
,_result,3,2025-07-30T14:00:17.274674293Z,2025-07-30T14:10:17.274674293Z,2025-07-30T14:02:00Z,606950.0000002639,kepler_container_microwatts_consumption_total,energy_measurements,1a96e5aac891ed3c850def9b9c51f6417f1783a8883d4d6a922ef4e6a7c4f6b0,coredns,flux,r4,Neuronet-Cluster,kube-system,kepler,coredns-5dd5756b68-znnhh,http://10.255.40.9:30118/metrics
,_result,3,2025-07-30T14:00:17.274674293Z,2025-07-30T14:10:17.274674293Z,2025-07-30T14:03:00Z,811999.9999995343,kepler_container_microwatts_consumption_total,energy_measurements,1a96e5aac891ed3c850def9b9c51f6417f1783a8883d4d6a922ef4e6a7c4f6b0,coredns,flux,r4,Neuronet-Cluster,kube-system,kepler,coredns-5dd5756b68-znnhh,http://10.255.40.9:30118/metrics
,_result,3,2025-07-30T14:00:17.274674293Z,2025-07-30T14:10:17.274674293Z,2025-07-30T14:04:00Z,634349.9999997827,kepler_container_microwatts_consumption_total,energy_measurements,1a96e5aac891ed3c850def9b9c51f6417f1783a8883d4d6a922ef4e6a7c4f6b0,coredns,flux,r4,Neuronet-Cluster,kube-system,kepler,coredns-5dd5756b68-znnhh,http://10.255.40.9:30118/metrics
,_result,3,2025-07-30T14:00:17.274674293Z,2025-07-30T14:10:17.274674293Z,2025-07-30T14:05:00Z,755400.0000003725,kepler_container_microwatts_consumption_total,energy_measurements,1a96e5aac891ed3c850def9b9c51f6417f1783a8883d4d6a922ef4e6a7c4f6b0,coredns,flux,r4,Neuronet-Cluster,kube-system,kepler,coredns-5dd5756b68-znnhh,http://10.255.40.9:30118/metrics
,_result,3,2025-07-30T14:00:17.274674293Z,2025-07-30T14:10:17.274674293Z,2025-07-30T14:06:00Z,607450.0000007296,kepler_container_microwatts_consumption_total,energy_measurements,1a96e5aac891ed3c850def9b9c51f6417f1783a8883d4d6a922ef4e6a7c4f6b0,coredns,flux,r4,Neuronet-Cluster,kube-system,kepler,coredns-5dd5756b68-znnhh,http://10.255.40.9:30118/metrics
,_result,3,2025-07-30T14:00:17.274674293Z,2025-07-30T14:10:17.274674293Z,2025-07-30T14:07:00Z,714499.9999999225,kepler_container_microwatts_consumption_total,energy_measurements,1a96e5aac891ed3c850def9b9c51f6417f1783a8883d4d6a922ef4e6a7c4f6b0,coredns,flux,r4,Neuronet-Cluster,kube-system,kepler,coredns-5dd5756b68-znnhh,http://10.255.40.9:30118/metrics
,_result,3,2025-07-30T14:00:17.274674293Z,2025-07-30T14:10:17.274674293Z,2025-07-30T14:08:00Z,675099.999998929,kepler_container_microwatts_consumption_total,energy_measurements,1a96e5aac891ed3c850def9b9c51f6417f1783a8883d4d6a922ef4e6a7c4f6b0,coredns,flux,r4,Neuronet-Cluster,kube-system,kepler,coredns-5dd5756b68-znnhh,http://10.255.40.9:30118/metrics
,_result,3,2025-07-30T14:00:17.274674293Z,2025-07-30T14:10:17.274674293Z,2025-07-30T14:09:00Z,775199.9999997981,kepler_container_microwatts_consumption_total,energy_measurements,1a96e5aac891ed3c850def9b9c51f6417f1783a8883d4d6a922ef4e6a7c4f6b0,coredns,flux,r4,Neuronet-Cluster,kube-system,kepler,coredns-5dd5756b68-znnhh,http://10.255.40.9:30118/metrics
,_result,4,2025-07-30T14:00:17.274674293Z,2025-07-30T14:10:17.274674293Z,2025-07-30T14:01:00Z,7223.709,kepler_container_joules_total,energy_measurements,205adc77fb944cb7d15d96ba20938e6f1a4302dacfa897dbe36ccc77d631d250,ovs-cni-marker,flux,r4,Neuronet-Cluster,cluster-network-addons,kepler,ovs-cni-amd64-8h9vl,http://10.255.40.9:30118/metrics
,_result,4,2025-07-30T14:00:17.274674293Z,2025-07-30T14:10:17.274674293Z,2025-07-30T14:02:00Z,7224.216,kepler_container_joules_total,energy_measurements,205adc77fb944cb7d15d96ba20938e6f1a4302dacfa897dbe36ccc77d631d250,ovs-cni-marker,flux,r4,Neuronet-Cluster,cluster-network-addons,kepler,ovs-cni-amd64-8h9vl,http://10.255.40.9:30118/metrics
,_result,4,2025-07-30T14:00:17.274674293Z,2025-07-30T14:10:17.274674293Z,2025-07-30T14:03:00Z,7225.41,kepler_container_joules_total,energy_measurements,205adc77fb944cb7d15d96ba20938e6f1a4302dacfa897dbe36ccc77d631d250,ovs-cni-marker,flux,r4,Neuronet-Cluster,cluster-network-addons,kepler,ovs-cni-amd64-8h9vl,http://10.255.40.9:30118/metrics
,_result,4,2025-07-30T14:00:17.274674293Z,2025-07-30T14:10:17.274674293Z,2025-07-30T14:04:00Z,7226.079,kepler_container_joules_total,energy_measurements,205adc77fb944cb7d15d96ba20938e6f1a4302dacfa897dbe36ccc77d631d250,ovs-cni-marker,flux,r4,Neuronet-Cluster,cluster-network-addons,kepler,ovs-cni-amd64-8h9vl,http://10.255.40.9:30118/metrics
,_result,4,2025-07-30T14:00:17.274674293Z,2025-07-30T14:10:17.274674293Z,2025-07-30T14:05:00Z,7228.257,kepler_container_joules_total,energy_measurements,205adc77fb944cb7d15d96ba20938e6f1a4302dacfa897dbe36ccc77d631d250,ovs-cni-marker,flux,r4,Neuronet-Cluster,cluster-network-addons,kepler,ovs-cni-amd64-8h9vl,http://10.255.40.9:30118/metrics
,_result,4,2025-07-30T14:00:17.274674293Z,2025-07-30T14:10:17.274674293Z,2025-07-30T14:06:00Z,7229.256,kepler_container_joules_total,energy_measurements,205adc77fb944cb7d15d96ba20938e6f1a4302dacfa897dbe36ccc77d631d250,ovs-cni-marker,flux,r4,Neuronet-Cluster,cluster-network-addons,kepler,ovs-cni-amd64-8h9vl,http://10.255.40.9:30118/metrics
,_result,4,2025-07-30T14:00:17.274674293Z,2025-07-30T14:10:17.274674293Z,2025-07-30T14:07:00Z,7231.062,kepler_container_joules_total,energy_measurements,205adc77fb944cb7d15d96ba20938e6f1a4302dacfa897dbe36ccc77d631d250,ovs-cni-marker,flux,r4,Neuronet-Cluster,cluster-network-addons,kepler,ovs-cni-amd64-8h9vl,http://10.255.40.9:30118/metrics
,_result,4,2025-07-30T14:00:17.274674293Z,2025-07-30T14:10:17.274674293Z,2025-07-30T14:08:00Z,7232.01,kepler_container_joules_total,energy_measurements,205adc77fb944cb7d15d96ba20938e6f1a4302dacfa897dbe36ccc77d631d250,ovs-cni-marker,flux,r4,Neuronet-Cluster,cluster-network-addons,kepler,ovs-cni-amd64-8h9vl,http://10.255.40.9:30118/metrics
