_time,inventory-server-id,vm_id,cpuload,disk_free,disk_total,disk_used,disk_used_percentage,mem_free,mem_total,mem_used,mem_used_percentage,swap_free,swap_total,swap_used,swap_used_percentage,uptime,disk_free_gb,disk_total_gb,disk_used_gb,disk_usage_percent
2025-08-04 06:12:01+00:00,flux-node3,306,0.012215372761002,34359738368.0,34359738368.0,0.0,0.0,363175936.0,2147483648.0,1784307712.0,83.08830261230469,0.0,0.0,0.0,0.0,2287358.0,32.0,32.0,0.0,0.0
2025-08-04 06:13:00+00:00,flux-node3,306,0.0124893311899004,34359738368.0,34359738368.0,0.0,0.0,363175936.0,2147483648.0,1784307712.0,83.08830261230469,0.0,0.0,0.0,0.0,2287417.0,32.0,32.0,0.0,0.0
2025-08-04 06:13:01+00:00,flux-node3,185,0.0126022192675852,34359738368.0,34359738368.0,0.0,0.0,276901888.0,2147483648.0,1870581760.0,87.10575103759766,0.0,0.0,0.0,0.0,6458695.0,32.0,32.0,0.0,0.0
2025-08-04 06:14:01+00:00,flux-node3,185,0.0133486198427768,34359738368.0,34359738368.0,0.0,0.0,278581248.0,2147483648.0,1868902400.0,87.02754974365234,0.0,0.0,0.0,0.0,6458755.0,32.0,32.0,0.0,0.0
2025-08-04 06:14:01+00:00,flux-node3,306,0.0143234879297333,34359738368.0,34359738368.0,0.0,0.0,363175936.0,2147483648.0,1784307712.0,83.08830261230469,0.0,0.0,0.0,0.0,2287478.0,32.0,32.0,0.0,0.0
2025-08-04 06:15:00+00:00,flux-node3,185,0.0136329059153593,34359738368.0,34359738368.0,0.0,0.0,279699456.0,2147483648.0,1867784192.0,86.97547912597656,0.0,0.0,0.0,0.0,6458814.0,32.0,32.0,0.0,0.0
2025-08-04 06:15:01+00:00,flux-node3,306,0.011461175377265,34359738368.0,34359738368.0,0.0,0.0,363175936.0,2147483648.0,1784307712.0,83.08830261230469,0.0,0.0,0.0,0.0,2287538.0,32.0,32.0,0.0,0.0
2025-08-04 06:15:51+00:00,flux-node1,188,0.350823417332782,64424509440.0,64424509440.0,0.0,0.0,472760320.0,4294967296.0,3822206976.0,88.99269104003906,0.0,0.0,0.0,0.0,6965474.0,60.0,60.0,0.0,0.0
2025-08-04 06:15:51+00:00,flux-node4,179,0.3972969573835,64424509440.0,64424509440.0,0.0,0.0,652451840.0,4294967296.0,3642515456.0,84.80892181396484,0.0,0.0,0.0,0.0,6008448.0,60.0,60.0,0.0,0.0
2025-08-04 06:15:51+00:00,flux-node4,182,0.307857804060341,64424509440.0,64424509440.0,0.0,0.0,1703567360.0,34359738368.0,32656171008.0,95.04196643829346,0.0,0.0,0.0,0.0,2663271.0,60.0,60.0,0.0,0.0
