_time,url,scaph_host_power_microwatts
2025-08-04 06:00:01+00:00,http://flux-node3.av.it.pt:8080/metrics,88732473.0
2025-08-04 06:00:01+00:00,http://flux-node4.av.it.pt:8080/metrics,63426249.0
2025-08-04 06:01:00+00:00,http://flux-node5.av.it.pt:8080/metrics,71116124.0
2025-08-04 06:02:02+00:00,http://flux-node3.av.it.pt:8080/metrics,76936837.0
2025-08-04 06:02:02+00:00,http://flux-node4.av.it.pt:8080/metrics,61264158.0
2025-08-04 06:02:02+00:00,http://flux-node5.av.it.pt:8080/metrics,69869521.0
2025-08-04 06:03:02+00:00,http://flux-node3.av.it.pt:8080/metrics,79611793.0
2025-08-04 06:03:02+00:00,http://flux-node4.av.it.pt:8080/metrics,62504040.0
2025-08-04 06:03:02+00:00,http://flux-node5.av.it.pt:8080/metrics,69352224.0
2025-08-04 06:04:02+00:00,http://flux-node4.av.it.pt:8080/metrics,60893436.0
2025-08-04 06:04:03+00:00,http://flux-node3.av.it.pt:8080/metrics,70593122.0
2025-08-04 06:04:03+00:00,http://flux-node5.av.it.pt:8080/metrics,68330565.0
2025-08-04 06:05:02+00:00,http://flux-node4.av.it.pt:8080/metrics,61681936.0
2025-08-04 06:05:02+00:00,http://flux-node5.av.it.pt:8080/metrics,68509121.0
2025-08-04 06:05:02+00:00,http://flux-node3.av.it.pt:8080/metrics,71334172.0
2025-08-04 06:06:02+00:00,http://flux-node5.av.it.pt:8080/metrics,68924645.0
2025-08-04 06:06:02+00:00,http://flux-node3.av.it.pt:8080/metrics,68482567.0
2025-08-04 06:06:02+00:00,http://flux-node4.av.it.pt:8080/metrics,61247268.0
2025-08-04 06:07:02+00:00,http://flux-node5.av.it.pt:8080/metrics,68377883.0
2025-08-04 06:07:02+00:00,http://flux-node3.av.it.pt:8080/metrics,69597223.0
2025-08-04 06:07:02+00:00,http://flux-node4.av.it.pt:8080/metrics,61372460.0
2025-08-04 06:08:02+00:00,http://flux-node5.av.it.pt:8080/metrics,71690979.0
2025-08-04 06:08:02+00:00,http://flux-node3.av.it.pt:8080/metrics,69714826.0
2025-08-04 06:08:02+00:00,http://flux-node4.av.it.pt:8080/metrics,61313092.0
2025-08-04 06:09:01+00:00,http://flux-node4.av.it.pt:8080/metrics,62752959.0
2025-08-04 06:09:02+00:00,http://flux-node5.av.it.pt:8080/metrics,70522712.0
2025-08-04 06:09:02+00:00,http://flux-node3.av.it.pt:8080/metrics,72899914.0
2025-08-04 06:10:02+00:00,http://flux-node4.av.it.pt:8080/metrics,62376866.0
2025-08-04 06:10:02+00:00,http://flux-node3.av.it.pt:8080/metrics,77096325.0
2025-08-04 06:10:03+00:00,http://flux-node5.av.it.pt:8080/metrics,71370842.0
2025-08-04 06:11:02+00:00,http://flux-node4.av.it.pt:8080/metrics,61140680.0
2025-08-04 06:11:02+00:00,http://flux-node5.av.it.pt:8080/metrics,70483058.0
2025-08-04 06:11:02+00:00,http://flux-node3.av.it.pt:8080/metrics,80933581.0
2025-08-04 06:12:02+00:00,http://flux-node4.av.it.pt:8080/metrics,61483519.0
2025-08-04 06:12:02+00:00,http://flux-node5.av.it.pt:8080/metrics,68082047.0
2025-08-04 06:12:02+00:00,http://flux-node3.av.it.pt:8080/metrics,76022602.0
2025-08-04 06:13:02+00:00,http://flux-node4.av.it.pt:8080/metrics,60851245.0
2025-08-04 06:13:02+00:00,http://flux-node5.av.it.pt:8080/metrics,68024932.0
2025-08-04 06:13:02+00:00,http://flux-node3.av.it.pt:8080/metrics,78342760.0
2025-08-04 06:14:02+00:00,http://flux-node5.av.it.pt:8080/metrics,69250626.0
2025-08-04 06:14:02+00:00,http://flux-node3.av.it.pt:8080/metrics,72604619.0
2025-08-04 06:14:02+00:00,http://flux-node4.av.it.pt:8080/metrics,62418445.0
2025-08-04 06:15:02+00:00,http://flux-node3.av.it.pt:8080/metrics,71672254.0
2025-08-04 06:16:00+00:00,http://flux-node4.av.it.pt:8080/metrics,61256250.0
2025-08-04 06:16:00+00:00,http://flux-node5.av.it.pt:8080/metrics,68810055.0
2025-08-04 06:17:02+00:00,http://flux-node3.av.it.pt:8080/metrics,83940648.0
2025-08-04 06:17:02+00:00,http://flux-node4.av.it.pt:8080/metrics,61486644.0
2025-08-04 06:17:02+00:00,http://flux-node5.av.it.pt:8080/metrics,70267176.0
2025-08-04 06:18:02+00:00,http://flux-node4.av.it.pt:8080/metrics,62299875.0
2025-08-04 06:18:02+00:00,http://flux-node5.av.it.pt:8080/metrics,71155688.0
2025-08-04 06:18:03+00:00,http://flux-node3.av.it.pt:8080/metrics,78554275.0
2025-08-04 06:19:02+00:00,http://flux-node4.av.it.pt:8080/metrics,63067232.0
2025-08-04 06:19:02+00:00,http://flux-node5.av.it.pt:8080/metrics,71070975.0
2025-08-04 06:19:02+00:00,http://flux-node3.av.it.pt:8080/metrics,74212362.0
