_time,url,uuid,vm_id,vm_name,scaph_process_cpu_usage_percentage,scaph_process_disk_read_bytes,scaph_process_disk_total_read_bytes,scaph_process_disk_total_write_bytes,scaph_process_disk_write_bytes,scaph_process_memory_bytes,scaph_process_memory_virtual_bytes,scaph_process_power_consumption_microwatts
2025-08-04 06:04:02+00:00,http://flux-node5.av.it.pt:8080/metrics,595fba49-ae34-49b8-b9de-956a6fee8367,183,neuronet-w2,6.9839664,0.0,82741536697.0,414973845504.0,5042176.0,34028871680.0,40054300672.0,4772183.666744399
2025-08-04 06:04:02+00:00,http://flux-node5.av.it.pt:8080/metrics,50c53a25-5073-4302-bd3c-67f4de72d2a0,181,neuronet-m3,4.2414927,0.0,112275892151.0,1690123640832.0,11550720.0,4350345216.0,10437226496.0,2898235.959320426
2025-08-04 06:04:02+00:00,http://flux-node5.av.it.pt:8080/metrics,42f9eb09-924d-45d3-9ed1-2a64ceab82ef,304,neuronet-k8s-w2,1.4096652,0.0,5474020938.0,74096820224.0,1257472.0,4294053888.0,9611620352.0,963232.2141741336
2025-08-04 06:05:02+00:00,http://flux-node4.av.it.pt:8080/metrics,d0963dbe-dc40-4955-906f-4435bf06ccee,182,neuronet-w1,3.863995,0.0,1681846346.0,97585324032.0,1097728.0,33949200384.0,39684583424.0,2383386.969343948
2025-08-04 06:05:02+00:00,http://flux-node4.av.it.pt:8080/metrics,c5237c73-cef8-42c1-bc97-fe0982b9d219,179,neuronet-m1,4.9661813,0.0,7580810492.0,1248322469888.0,8527872.0,4241072128.0,9236901888.0,3063236.7576810457
2025-08-04 06:07:02+00:00,http://flux-node5.av.it.pt:8080/metrics,a2852a33-8cf2-4621-90ea-85fd02bf17e5,184,neuronet-w3,3.5474532,0.0,85044025273.0,911754735616.0,2146304.0,34266873856.0,40054206464.0,2425673.3746806406
2025-08-04 06:07:02+00:00,http://flux-node5.av.it.pt:8080/metrics,8cdf92b6-d702-4a42-b43f-b973491c8942,303,neuronet-k8s-w1,1.713833,0.0,6872637002.0,95186079744.0,1957888.0,4132913152.0,9941901312.0,1171882.7060738313
2025-08-04 06:07:02+00:00,http://flux-node5.av.it.pt:8080/metrics,5a48f6ee-b6fa-4bbb-8fa7-64e34e000dde,305,neuronet-k8s-w3,1.0356617,0.0,5343444554.0,79104663552.0,905216.0,4233900032.0,9888460800.0,708163.5437155723
2025-08-04 06:07:02+00:00,http://flux-node5.av.it.pt:8080/metrics,595fba49-ae34-49b8-b9de-956a6fee8367,183,neuronet-w2,6.7087173,0.0,82741536697.0,414987907072.0,3252224.0,34028871680.0,40045907968.0,4587278.897779465
2025-08-04 06:07:02+00:00,http://flux-node5.av.it.pt:8080/metrics,50c53a25-5073-4302-bd3c-67f4de72d2a0,181,neuronet-m3,4.2143946,0.0,112275892151.0,1690162794496.0,10510336.0,4350345216.0,10437226496.0,2881713.787820616
2025-08-04 06:07:02+00:00,http://flux-node4.av.it.pt:8080/metrics,d0963dbe-dc40-4955-906f-4435bf06ccee,182,neuronet-w1,3.8298075,0.0,1681846346.0,97589276672.0,987136.0,33949200384.0,39684583424.0,2350447.0882354258
2025-08-04 06:07:02+00:00,http://flux-node4.av.it.pt:8080/metrics,c5237c73-cef8-42c1-bc97-fe0982b9d219,179,neuronet-m1,5.0405974,0.0,7580810492.0,1248348844032.0,9023488.0,4241072128.0,9236901888.0,3093538.6468960764
2025-08-04 06:07:02+00:00,http://flux-node5.av.it.pt:8080/metrics,42f9eb09-924d-45d3-9ed1-2a64ceab82ef,304,neuronet-k8s-w2,3.3078785,0.0,5474020938.0,74099703808.0,618496.0,4294053888.0,9611620352.0,2261857.2865891075
2025-08-04 06:08:02+00:00,http://flux-node5.av.it.pt:8080/metrics,a2852a33-8cf2-4621-90ea-85fd02bf17e5,184,neuronet-w3,4.6969557,0.0,85044025273.0,911815413760.0,60395520.0,34266873856.0,40096169984.0,3367293.5107954503
2025-08-04 06:08:02+00:00,http://flux-node5.av.it.pt:8080/metrics,8cdf92b6-d702-4a42-b43f-b973491c8942,303,neuronet-k8s-w1,1.6904563,0.0,6872637002.0,95188090880.0,1998848.0,4132913152.0,9941901312.0,1211904.6503697932
2025-08-04 06:08:02+00:00,http://flux-node5.av.it.pt:8080/metrics,5a48f6ee-b6fa-4bbb-8fa7-64e34e000dde,305,neuronet-k8s-w3,1.0374101,0.0,5343444554.0,79105589248.0,925696.0,4233900032.0,9888460800.0,743729.485638181
2025-08-04 06:08:02+00:00,http://flux-node5.av.it.pt:8080/metrics,595fba49-ae34-49b8-b9de-956a6fee8367,183,neuronet-w2,6.828995,0.0,82741536697.0,414991880192.0,3743744.0,34028871680.0,40045907968.0,4895773.534682937
2025-08-04 06:08:02+00:00,http://flux-node5.av.it.pt:8080/metrics,50c53a25-5073-4302-bd3c-67f4de72d2a0,181,neuronet-m3,4.327518,0.0,112275892151.0,1690175082496.0,9998336.0,4350345216.0,10437226496.0,3102440.0107778404
2025-08-04 06:08:02+00:00,http://flux-node4.av.it.pt:8080/metrics,c5237c73-cef8-42c1-bc97-fe0982b9d219,179,neuronet-m1,5.0268006,0.0,7580810492.0,1248360890368.0,8060928.0,4241072128.0,9236901888.0,3082086.8964470862
2025-08-04 06:08:02+00:00,http://flux-node4.av.it.pt:8080/metrics,d0963dbe-dc40-4955-906f-4435bf06ccee,182,neuronet-w1,3.9571505,0.0,1681846346.0,97591177216.0,1593344.0,33949200384.0,39684583424.0,2426251.301682625
2025-08-04 06:08:02+00:00,http://flux-node3.av.it.pt:8080/metrics,d73e81c0-f052-4b31-9811-0fe16434f778,306,neuronet-k8s-lb,0.07711422,0.0,2705370612.0,27447930880.0,20480.0,2143072256.0,7446151168.0,53760.04219118282
2025-08-04 06:08:02+00:00,http://flux-node3.av.it.pt:8080/metrics,a70cec07-8f49-4109-90fe-0262d766bb7b,185,neuronet-lb,0.07711422,0.0,14706027984.0,108411965440.0,311296.0,2157367296.0,7440830464.0,53760.04219118282
2025-08-04 06:08:02+00:00,http://flux-node5.av.it.pt:8080/metrics,42f9eb09-924d-45d3-9ed1-2a64ceab82ef,304,neuronet-k8s-w2,3.107255,0.0,5474020938.0,74100629504.0,909312.0,4294053888.0,9611620352.0,2227621.5166182234
2025-08-04 06:09:01+00:00,http://flux-node4.av.it.pt:8080/metrics,d0963dbe-dc40-4955-906f-4435bf06ccee,182,neuronet-w1,3.8963094,0.0,1681846346.0,97592696832.0,1163264.0,33949200384.0,39684583424.0,2445049.425085673
2025-08-04 06:09:01+00:00,http://flux-node4.av.it.pt:8080/metrics,c5237c73-cef8-42c1-bc97-fe0982b9d219,179,neuronet-m1,4.9762864,0.0,7580810492.0,1248374022144.0,8732672.0,4241072128.0,9236901888.0,3122766.971396499
2025-08-04 06:09:02+00:00,http://flux-node5.av.it.pt:8080/metrics,42f9eb09-924d-45d3-9ed1-2a64ceab82ef,304,neuronet-k8s-w2,2.9465108,0.0,5474020938.0,74101420032.0,671744.0,4294053888.0,9611620352.0,2077959.3197349168
2025-08-04 06:09:02+00:00,http://flux-node5.av.it.pt:8080/metrics,50c53a25-5073-4302-bd3c-67f4de72d2a0,181,neuronet-m3,4.307967,0.0,112275892151.0,1690188165120.0,11161600.0,4350345216.0,10437226496.0,3038095.291619034
2025-08-04 06:09:02+00:00,http://flux-node5.av.it.pt:8080/metrics,595fba49-ae34-49b8-b9de-956a6fee8367,183,neuronet-w2,6.684306,0.0,82741536697.0,414996504576.0,4411392.0,34028871680.0,40045907968.0,4713953.971635208
2025-08-04 06:09:02+00:00,http://flux-node5.av.it.pt:8080/metrics,5a48f6ee-b6fa-4bbb-8fa7-64e34e000dde,305,neuronet-k8s-w3,1.0142605,0.0,5343444554.0,79106621440.0,1032192.0,4233900032.0,9905246208.0,715284.032834301
2025-08-04 06:09:02+00:00,http://flux-node5.av.it.pt:8080/metrics,8cdf92b6-d702-4a42-b43f-b973491c8942,303,neuronet-k8s-w1,1.6322576,0.0,6872637002.0,95189991424.0,1499136.0,4132913152.0,9941901312.0,1151112.312775526
2025-08-04 06:09:02+00:00,http://flux-node5.av.it.pt:8080/metrics,a2852a33-8cf2-4621-90ea-85fd02bf17e5,184,neuronet-w3,3.657052,0.0,85044025273.0,911818858496.0,3284992.0,34266873856.0,40079384576.0,2579052.2779299165
2025-08-04 06:10:02+00:00,http://flux-node5.av.it.pt:8080/metrics,595fba49-ae34-49b8-b9de-956a6fee8367,183,neuronet-w2,6.516429,0.0,82741536697.0,415000150016.0,3301376.0,34028871680.0,40045907968.0,4650830.208125897
