_time,namespace_x,pod_name_x,container_name_x,node_name,inventory-cluster-id_x,inventory-rack-id,inventory-server-id_x,cpu_usage_core_nanoseconds,cpu_usage_nanocores,logsfs_available_bytes,logsfs_capacity_bytes,logsfs_used_bytes,memory_major_page_faults,memory_page_faults,memory_rss_bytes,memory_usage_bytes,memory_working_set_bytes,rootfs_available_bytes,rootfs_capacity_bytes,rootfs_used_bytes,pod_key,namespace_y,pod_name_y,container_name_y,inventory-cluster-id_y,inventory-server-id_y,kepler_container_joules_total,kepler_container_microwatts_consumption_total,inventory-cluster-id,inventory-server-id,node_fqdn,vm_id,vm_name,cpuload,disk_free,disk_total,disk_used,disk_used_percentage,mem_free,mem_total,mem_used,mem_used_percentage,status,swap_free,swap_total,swap_used,swap_used_percentage,uptime,placement,plugin,activePower,apparentPower,cumulatedEnergy,current,currentTHD,partialEnergy,peakFactor,powerFactor,reactivePower,latency_ms
2025-09-05 10:48:56,quickpizza,quickpizza-8b95978b5-jgvvs,quickpizza,neuronet-k8s-w2,flux,r4,Neuronet-ClusterTest,502872806000,2000617874,22663733248,33104523264,31576064,0,1960066,82698240,88154112,88154112,22663733248,33104523264,32768,quickpizza/quickpizza-8b95978b5-jgvvs,quickpizza,quickpizza-8b95978b5-jgvvs,quickpizza,flux,Neuronet-ClusterTest,34743.285,0.0,flux,flux-node3,flux-node3.av.it.pt,311,neuronet-5g-core,0.144375159426507,85899345920,85899345920,0,0,8928120832,17179869184,8251748352,48.03149700164795,running,0,0,0,0,1195824,left,pdu,71.398,68.881,178195.00846381,0.314,16.6,178195.00846381,1.73,0.976,-7.633,3571.35
2025-09-05 10:49:56,quickpizza,quickpizza-8b95978b5-jgvvs,quickpizza,neuronet-k8s-w2,flux,r4,Neuronet-ClusterTest,639659465000,2076781232,22672539648,33104523264,32071680,0,2569312,81674240,86929408,86929408,22672539648,33104523264,32768,quickpizza/quickpizza-8b95978b5-jgvvs,quickpizza,quickpizza-8b95978b5-jgvvs,quickpizza,flux,Neuronet-ClusterTest,34743.285,0.0,flux,flux-node5,flux-node5.av.it.pt,304,neuronet-k8s-w2,0.621173345713973,34359738368,34359738368,0,0,1042132992,4294967296,3252834304,75.7359504699707,running,0,0,0,0,5446508,right,pdu,68.543,71.517,164673.00782155,0.301,12.6,164673.00782155,1.559,0.991,-6.297,4181.23
2025-09-05 10:50:56,quickpizza,quickpizza-8b95978b5-jgvvs,quickpizza,neuronet-k8s-w2,flux,r4,Neuronet-ClusterTest,739063486000,1675730994,22662733824,33104523264,29708288,0,3259903,72171520,76554240,76554240,22662733824,33104523264,32768,quickpizza/quickpizza-8b95978b5-jgvvs,quickpizza,quickpizza-8b95978b5-jgvvs,quickpizza,flux,Neuronet-ClusterTest,34743.285,0.0,flux,flux-node5,flux-node5.av.it.pt,305,neuronet-k8s-w3,0.192795772950443,34359738368,34359738368,0,0,2364887040,4294967296,1930080256,44.93818283081055,running,0,0,0,0,5446550,right,pdu,63.697,66.504,118994.00565191,0.282,19.2,118994.00565191,1.632,0.985,-7.728,4020.71
2025-09-05 10:51:56,quickpizza,quickpizza-8b95978b5-jgvvs,quickpizza,neuronet-k8s-w2,flux,r4,Neuronet-ClusterTest,816391265000,651967534,22670082048,33104523264,31817728,0,4147573,50970624,54288384,54288384,22670082048,33104523264,32768,quickpizza/quickpizza-8b95978b5-jgvvs,quickpizza,quickpizza-8b95978b5-jgvvs,quickpizza,flux,Neuronet-ClusterTest,34743.285,0.0,flux,flux-node1,flux-node1.av.it.pt,188,neuronet-m2,0.349230107359967,64424509440,64424509440,0,0,430530560,4294967296,3864436736,89.9759292602539,running,0,0,0,0,9746845,right,pdu,50.84,49.743,118995.00565196,0.226,15.7,118999.00565215,1.58,0.976,-8.253,810.34
2025-09-05 10:52:56,quickpizza,quickpizza-8b95978b5-jgvvs,quickpizza,neuronet-k8s-w2,flux,r4,Neuronet-ClusterTest,867459183000,1454446670,22667689984,33104523264,33701888,0,4837773,58261504,61648896,61648896,22667689984,33104523264,32768,quickpizza/quickpizza-8b95978b5-jgvvs,quickpizza,quickpizza-8b95978b5-jgvvs,quickpizza,flux,Neuronet-ClusterTest,34743.285,0.0,flux,flux-node3,flux-node3.av.it.pt,306,neuronet-k8s-lb,0.0153976189858122,34359738368,34359738368,0,0,412962816,2147483648,1734520832,80.7699203491211,running,0,0,0,0,5069018,right,pdu,95.26,86.155,217151.01031412,0.415,6.9,217151.01031412,1.709,0.996,-1.021,4302.19
2025-09-05 10:53:56,quickpizza,quickpizza-8b95978b5-jgvvs,quickpizza,neuronet-k8s-w2,flux,r4,Neuronet-ClusterTest,956164552000,1858364959,22669750272,33104523264,31215616,0,5588206,79241216,83795968,83795968,22669750272,33104523264,32768,quickpizza/quickpizza-8b95978b5-jgvvs,quickpizza,quickpizza-8b95978b5-jgvvs,quickpizza,flux,Neuronet-ClusterTest,34743.285,0.0,flux,flux-node5,flux-node5.av.it.pt,305,neuronet-k8s-w3,0.207773153404429,34359738368,34359738368,0,0,2362150912,4294967296,1932816384,45.00188827514648,running,0,0,0,0,5446730,left,pdu,86.036,80.657,182278.00865774,0.377,9.4,182278.00865774,1.66,0.992,-3.872,4330.88
2025-09-05 10:54:56,quickpizza,quickpizza-8b95978b5-jgvvs,quickpizza,neuronet-k8s-w2,flux,r4,Neuronet-ClusterTest,1083508234000,2006553527,22668447744,33104523264,31342592,0,6368236,106033152,111403008,111403008,22668447744,33104523264,32768,quickpizza/quickpizza-8b95978b5-jgvvs,quickpizza,quickpizza-8b95978b5-jgvvs,quickpizza,flux,Neuronet-ClusterTest,34743.285,0.0,flux,flux-node3,flux-node3.av.it.pt,306,neuronet-k8s-lb,0.0,34359738368,34359738368,0,0,413577216,2147483648,1733906432,80.7413101196289,running,0,0,0,0,5069138,left,pdu,69.847,75.389,178202.00846414,0.307,12.2,178202.00846414,1.758,0.987,-7.764,1575.39
2025-09-05 10:55:56,quickpizza,quickpizza-8b95978b5-jgvvs,quickpizza,neuronet-k8s-w2,flux,r4,Neuronet-ClusterTest,1201658889000,1588710341,22659371008,33104523264,39452672,0,7293299,67678208,72048640,72048640,22659371008,33104523264,32768,quickpizza/quickpizza-8b95978b5-jgvvs,quickpizza,quickpizza-8b95978b5-jgvvs,quickpizza,flux,Neuronet-ClusterTest,34743.285,0.0,flux,flux-node3,flux-node3.av.it.pt,306,neuronet-k8s-lb,0.0158658552946216,34359738368,34359738368,0,0,413769728,2147483648,1733713920,80.73234558105469,running,0,0,0,0,5069199,left,pdu,59.813,59.411,146375.00695244,0.265,17.4,146375.00695244,1.727,0.972,-7.438,1572.7
2025-09-05 10:56:56,quickpizza,quickpizza-8b95978b5-jgvvs,quickpizza,neuronet-k8s-w2,flux,r4,Neuronet-ClusterTest,1261267673000,748087466,22667313152,33104523264,30474240,0,8104496,52518912,56086528,56086528,22667313152,33104523264,32768,quickpizza/quickpizza-8b95978b5-jgvvs,quickpizza,quickpizza-8b95978b5-jgvvs,quickpizza,flux,Neuronet-ClusterTest,34743.285,0.0,flux,flux-node3,flux-node3.av.it.pt,306,neuronet-k8s-lb,0.0304572246431484,34359738368,34359738368,0,0,413769728,2147483648,1733713920,80.73234558105469,running,0,0,0,0,5069259,right,pdu,90.429,95.232,217157.0103144,0.394,7.4,217157.0103144,1.585,0.997,-0.652,1044.33
2025-09-05 10:57:56,quickpizza,quickpizza-8b95978b5-jgvvs,quickpizza,neuronet-k8s-w2,flux,r4,Neuronet-ClusterTest,1310737467000,1422199212,22664757248,33104523264,32350208,0,8773515,60936192,64544768,64544768,22664757248,33104523264,32768,quickpizza/quickpizza-8b95978b5-jgvvs,quickpizza,quickpizza-8b95978b5-jgvvs,quickpizza,flux,Neuronet-ClusterTest,34743.285,0.0,flux,flux-node1,flux-node1.av.it.pt,301,neuronet-k8s-m2,0.296088589058189,34359738368,34359738368,0,0,556064768,4294967296,3738902528,87.05310821533203,running,0,0,0,0,5489346,left,pdu,105.27,105.82,208621.00990897,0.46,10.8,208621.00990897,1.619,0.994,-4.222,3438.3
