_time,vm_id,cpuload,disk_free,disk_total,disk_used,disk_used_percentage,mem_free,mem_total,mem_used,mem_used_percentage,swap_free,swap_total,swap_used,swap_used_percentage,uptime,disk_free_gb,disk_total_gb,disk_used_gb,disk_usage_percent,scaph_process_cpu_usage_percentage,scaph_process_disk_read_bytes,scaph_process_disk_total_read_bytes,scaph_process_disk_total_write_bytes,scaph_process_disk_write_bytes,scaph_process_memory_bytes,scaph_process_memory_virtual_bytes,scaph_process_power_consumption_microwatts,uptime_hours,vm_power_watts
2025-08-04 06:20:00+00:00,306,0.0156194405860031,34359738368.0,34359738368.0,0.0,0.0,372994048.0,2147483648.0,1774489600.0,82.63111114501953,0.0,0.0,0.0,0.0,2287838.0,32.0,32.0,0.0,0.0,0.06847556,0.0,2705370612.0,27450458112.0,0.0,2143596544.0,7580434432.0,52700.77421566085,635.5105555555556,0.05270077421566085
2025-08-04 06:20:00+00:00,304,0.0909771154160438,34359738368.0,34359738368.0,0.0,0.0,528154624.0,4294967296.0,3766812672.0,87.70294189453125,0.0,0.0,0.0,0.0,2665510.0,32.0,32.0,0.0,0.0,1.1084129,0.0,5474020938.0,74116067328.0,868352.0,4294053888.0,9594834944.0,776091.864998796,740.4194444444445,0.776091864998796
2025-08-04 06:20:00+00:00,303,0.127413784153428,34359738368.0,34359738368.0,0.0,0.0,1183391744.0,4294967296.0,3111575552.0,72.44701385498047,0.0,0.0,0.0,0.0,2665655.0,32.0,32.0,0.0,0.0,1.8256581,0.0,6872657482.0,95212027904.0,1765376.0,4132913152.0,9941901312.0,1278294.790015769,740.4597222222222,1.278294790015769
2025-08-04 06:21:00+00:00,305,0.0715350177615664,34359738368.0,34359738368.0,0.0,0.0,582057984.0,4294967296.0,3712909312.0,86.44790649414062,0.0,0.0,0.0,0.0,2665551.0,32.0,32.0,0.0,0.0,1.1029892,0.0,5343444554.0,79116664832.0,630784.0,4233900032.0,9888460800.0,743543.8235134125,740.4308333333333,0.7435438235134125
2025-08-04 06:21:00+00:00,304,0.0856297067592082,34359738368.0,34359738368.0,0.0,0.0,533254144.0,4294967296.0,3761713152.0,87.58420944213867,0.0,0.0,0.0,0.0,2665569.0,32.0,32.0,0.0,0.0,1.1340418,0.0,5474020938.0,74117287936.0,1220608.0,4294053888.0,9594834944.0,764476.9034857273,740.4358333333333,0.7644769034857273
2025-08-04 06:21:00+00:00,303,0.127557388506306,34359738368.0,34359738368.0,0.0,0.0,1189371904.0,4294967296.0,3105595392.0,72.30777740478516,0.0,0.0,0.0,0.0,2665714.0,32.0,32.0,0.0,0.0,1.670631,0.0,6872657482.0,95213555712.0,1470464.0,4132913152.0,9941901312.0,1126200.8757813512,740.4761111111111,1.1262008757813513
2025-08-04 06:22:00+00:00,306,0.01180473413756,34359738368.0,34359738368.0,0.0,0.0,372994048.0,2147483648.0,1774489600.0,82.63111114501953,0.0,0.0,0.0,0.0,2287959.0,32.0,32.0,0.0,0.0,0.07118451,0.0,2705370612.0,27450867712.0,4096.0,2143596544.0,7446151168.0,56948.42542383447,635.5441666666667,0.05694842542383447
2025-08-04 06:23:00+00:00,304,0.0827234563972232,34359738368.0,34359738368.0,0.0,0.0,527355904.0,4294967296.0,3767611392.0,87.72153854370117,0.0,0.0,0.0,0.0,2665687.0,32.0,32.0,0.0,0.0,1.0686126,0.0,5474020938.0,74118995968.0,499712.0,4294053888.0,9586442240.0,780837.6667494297,740.4686111111112,0.7808376667494297
2025-08-04 06:23:00+00:00,303,0.127256060313336,34359738368.0,34359738368.0,0.0,0.0,1178497024.0,4294967296.0,3116470272.0,72.56097793579102,0.0,0.0,0.0,0.0,2665832.0,32.0,32.0,0.0,0.0,1.6684704,0.0,6872657482.0,95217770496.0,2207744.0,4132913152.0,9941901312.0,1219155.146113777,740.5088888888889,1.219155146113777
2025-08-04 06:23:00+00:00,305,0.0937628663490742,34359738368.0,34359738368.0,0.0,0.0,585777152.0,4294967296.0,3709190144.0,86.36131286621094,0.0,0.0,0.0,0.0,2665673.0,32.0,32.0,0.0,0.0,1.0067716,0.0,5343444554.0,79118417920.0,921600.0,4233900032.0,9905246208.0,735650.2977427959,740.4647222222222,0.7356502977427959
