_time,container_name,namespace,pod_name,cpu_millicores,memory_usage_mb,logsfs_usage_percent,container_power_watts
2025-08-04 06:03:00+00:00,node-exporter,optimiter,prometheus-prometheus-node-exporter-5knrk,0.123168,11.34765625,1.3161623286175676e-05,9698.9054
2025-08-04 06:03:00+00:00,etcd,kube-system,etcd-neuronet-m1,303.676057,227.2421875,0.03643137325613427,698840.9535000001
2025-08-04 06:03:00+00:00,kube-controller-manager,kube-system,kube-controller-manager-neuronet-m1,121.305014,96.97265625,0.002836329818170858,3714.2802500000003
2025-08-04 06:03:00+00:00,coredns,kube-system,coredns-5dd5756b68-znnhh,6.788518,33.2578125,0.0006975660341673108,20627.49025
2025-08-04 06:03:00+00:00,kepler-exporter,optimiter,kepler-gjk9b,16.940814,119.03515625,0.0002105859725788108,32206.79685
2025-08-04 06:03:00+00:00,kube-apiserver,kube-system,kube-apiserver-neuronet-m1,426.218529,1052.2265625,0.03980732962903833,61259.2112
2025-08-04 06:04:00+00:00,kube-scheduler,kube-system,kube-scheduler-neuronet-m1,13.332952,22.734375,0.00013819704450484458,455.8182
2025-08-04 06:04:00+00:00,kube-flannel,kube-flannel,kube-flannel-ds-mwgcj,29.730953,17.19140625,0.00027639408900968917,38254.504
2025-08-04 06:04:00+00:00,kube-multus,kube-system,kube-multus-ds-b68jx,0.0,1.59765625,1.3161623286175676e-05,0.2826
2025-08-04 06:04:00+00:00,kube-proxy,kube-system,kube-proxy-zk9zk,0.39637,33.09375,0.0012503542121866892,6144.138000000001
2025-08-04 06:04:00+00:00,ovs-cni-marker,cluster-network-addons,ovs-cni-amd64-8h9vl,2.565915,6.71875,6.580811643087838e-06,44.136100000000006
2025-08-04 06:04:00+00:00,node-exporter,optimiter,prometheus-prometheus-node-exporter-5knrk,4.713053,11.20703125,1.3161623286175676e-05,9699.247
2025-08-04 06:04:00+00:00,etcd,kube-system,etcd-neuronet-m1,328.546975,227.5546875,0.03643137325613427,698868.646
2025-08-04 06:04:00+00:00,coredns,kube-system,coredns-5dd5756b68-znnhh,6.163766,33.2890625,0.0006975660341673108,20628.17275
2025-08-04 06:04:00+00:00,kube-controller-manager,kube-system,kube-controller-manager-neuronet-m1,97.57451,96.99609375,0.0028429106298139464,3721.3427
2025-08-04 06:04:00+00:00,kepler-exporter,optimiter,kepler-gjk9b,5.003468,121.97265625,0.0002105859725788108,32208.140499999998
2025-08-04 06:04:00+00:00,kube-apiserver,kube-system,kube-apiserver-neuronet-m1,378.257073,1053.49609375,0.03980732962903833,61294.6061
2025-08-04 06:05:00+00:00,kube-scheduler,kube-system,kube-scheduler-neuronet-m1,13.120896,22.734375,0.00013819704450484458,456.90934999999996
2025-08-04 06:05:00+00:00,kube-proxy,kube-system,kube-proxy-zk9zk,1.921375,33.08984375,0.0012503542121866892,6144.2192000000005
2025-08-04 06:05:00+00:00,kube-multus,kube-system,kube-multus-ds-b68jx,0.017207,1.59765625,1.3161623286175676e-05,0.2826
2025-08-04 06:05:00+00:00,kube-flannel,kube-flannel,kube-flannel-ds-mwgcj,22.649012,17.30859375,0.00027639408900968917,38255.852349999994
2025-08-04 06:05:00+00:00,ovs-cni-marker,cluster-network-addons,ovs-cni-amd64-8h9vl,0.238839,6.65234375,6.580811643087838e-06,44.170449999999995
2025-08-04 06:05:00+00:00,node-exporter,optimiter,prometheus-prometheus-node-exporter-5knrk,4.7446,11.12109375,1.3161623286175676e-05,9699.58685
2025-08-04 06:05:00+00:00,kube-controller-manager,kube-system,kube-controller-manager-neuronet-m1,92.208766,96.99609375,0.0028494914414570337,3727.85755
2025-08-04 06:05:00+00:00,coredns,kube-system,coredns-5dd5756b68-znnhh,5.415527,34.55078125,0.0006975660341673108,20628.7623
2025-08-04 06:05:00+00:00,etcd,kube-system,etcd-neuronet-m1,329.324318,229.234375,0.03643137325613427,698896.7712999999
2025-08-04 06:05:00+00:00,kepler-exporter,optimiter,kepler-gjk9b,4.319699,118.44140625,0.0002105859725788108,32209.180249999998
2025-08-04 06:05:00+00:00,kube-apiserver,kube-system,kube-apiserver-neuronet-m1,360.581858,1053.50390625,0.03980732962903833,61329.4761
2025-08-04 06:06:00+00:00,kube-scheduler,kube-system,kube-scheduler-neuronet-m1,14.141577,22.734375,0.00013819704450484458,457.94384999999994
2025-08-04 06:06:00+00:00,kube-flannel,kube-flannel,kube-flannel-ds-mwgcj,26.39053,17.27734375,0.00027639408900968917,38256.933300000004
2025-08-04 06:06:00+00:00,kube-multus,kube-system,kube-multus-ds-b68jx,0.0,1.59765625,1.3161623286175676e-05,0.2826
2025-08-04 06:06:00+00:00,kube-proxy,kube-system,kube-proxy-zk9zk,1.663101,33.08203125,0.0012503542121866892,6144.5637
